label,degree
#43281=IfcConnectedFaceSet,37
#50159=IfcConnectedFaceSet,37
#50419=IfcConnectedFaceSet,37
#52856=IfcConnectedFaceSet,37
#78903=IfcConnectedFaceSet,37
#85604=IfcConnectedFaceSet,37
#103099=IfcConnectedFaceSet,37
#113146=IfcConnectedFaceSet,37
#128132=IfcConnectedFaceSet,37
#32694=IfcPropertySet,36
#5976=IfcConnectedFaceSet,35
#15588=IfcConnectedFaceSet,35
#109263=IfcConnectedFaceSet,35
#135878=IfcConnectedFaceSet,35
#143605=IfcConnectedFaceSet,35
#115515=IfcPropertySet,34
#5567=IfcPolyLoop,33
#5842=IfcPolyLoop,33
#5877=IfcPolyLoop,33
#40134=IfcConnectedFaceSet,33
#6346=IfcPropertySet,32
#56337=IfcPropertySet,32
#5530=IfcPolyLoop,31
#39252=IfcConnectedFaceSet,31
#43520=IfcConnectedFaceSet,31
#84035=IfcFaceBasedSurfaceModel,30
#10988=IfcPropertySet,29
#13687=IfcPropertySet,29
#33392=IfcPropertySet,29
#103615=IfcConnectedFaceSet,29
#139514=IfcConnectedFaceSet,29
#6731=IfcPropertySet,28
#8004=IfcPropertySet,28
#38782=IfcPropertySet,28
#74345=IfcPropertySet,28
#114981=IfcPolyLoop,28
#114995=IfcPolyLoop,28
#116036=IfcPropertySet,28
#116052=IfcPropertySet,28
#116300=IfcPropertySet,28
#6103=IfcConnectedFaceSet,27
#6230=IfcConnectedFaceSet,27
#7910=IfcConnectedFaceSet,27
#8137=IfcConnectedFaceSet,27
#8318=IfcConnectedFaceSet,27
#8499=IfcConnectedFaceSet,27
#11121=IfcConnectedFaceSet,27
#11301=IfcConnectedFaceSet,27
#11481=IfcConnectedFaceSet,27
#11661=IfcConnectedFaceSet,27
#11889=IfcConnectedFaceSet,27
#12117=IfcConnectedFaceSet,27
#12518=IfcConnectedFaceSet,27
#13820=IfcConnectedFaceSet,27
#14000=IfcConnectedFaceSet,27
#14181=IfcConnectedFaceSet,27
#14362=IfcConnectedFaceSet,27
#14542=IfcConnectedFaceSet,27
#14819=IfcConnectedFaceSet,27
#14999=IfcConnectedFaceSet,27
#15386=IfcConnectedFaceSet,27
#15981=IfcConnectedFaceSet,27
#16425=IfcConnectedFaceSet,27
#16602=IfcConnectedFaceSet,27
#16782=IfcConnectedFaceSet,27
#16960=IfcConnectedFaceSet,27
#18175=IfcConnectedFaceSet,27
#18354=IfcConnectedFaceSet,27
#18533=IfcConnectedFaceSet,27
#18762=IfcConnectedFaceSet,27
#18942=IfcConnectedFaceSet,27
#19171=IfcConnectedFaceSet,27
#19782=IfcConnectedFaceSet,27
#19962=IfcConnectedFaceSet,27
#20624=IfcConnectedFaceSet,27
#20853=IfcConnectedFaceSet,27
#21033=IfcConnectedFaceSet,27
#21213=IfcConnectedFaceSet,27
#21441=IfcConnectedFaceSet,27
#21670=IfcConnectedFaceSet,27
#21850=IfcConnectedFaceSet,27
#22030=IfcConnectedFaceSet,27
#36631=IfcConnectedFaceSet,27
#36811=IfcConnectedFaceSet,27
#36989=IfcConnectedFaceSet,27
#37169=IfcConnectedFaceSet,27
#37350=IfcConnectedFaceSet,27
#37528=IfcConnectedFaceSet,27
#37967=IfcConnectedFaceSet,27
#38147=IfcConnectedFaceSet,27
#38328=IfcConnectedFaceSet,27
#38509=IfcConnectedFaceSet,27
#38689=IfcConnectedFaceSet,27
#39012=IfcConnectedFaceSet,27
#39432=IfcConnectedFaceSet,27
#39660=IfcConnectedFaceSet,27
#39888=IfcConnectedFaceSet,27
#40313=IfcConnectedFaceSet,27
#40590=IfcConnectedFaceSet,27
#40770=IfcConnectedFaceSet,27
#40951=IfcConnectedFaceSet,27
#41132=IfcConnectedFaceSet,27
#41312=IfcConnectedFaceSet,27
#41589=IfcConnectedFaceSet,27
#41769=IfcConnectedFaceSet,27
#41949=IfcConnectedFaceSet,27
#42127=IfcConnectedFaceSet,27
#43700=IfcConnectedFaceSet,27
#43878=IfcConnectedFaceSet,27
