label,degree
#38540=IfcRelDefinesByProperties,20
#38541=IfcRelDefinesByProperties,20
#39107=IfcPresentationLayerAssignment,20
#201=IfcLocalPlacement,19
#1771=IfcLocalPlacement,19
#2129=IfcPolyline,19
#3325=IfcSpace,19
#3456=IfcSpace,19
#3586=IfcSpace,19
#4818=IfcWallStandardCase,19
#4918=IfcWallStandardCase,19
#8283=IfcDoor,19
#8386=IfcDoor,19
#15210=IfcConnectedFaceSet,19
#15603=IfcConnectedFaceSet,19
#17122=IfcConnectedFaceSet,19
#21195=IfcSlab,19
#21336=IfcSlab,19
#23671=IfcCovering,19
#24596=IfcWallStandardCase,19
#35608=IfcConnectedFaceSet,19
#35740=IfcConnectedFaceSet,19
#35950=IfcConnectedFaceSet,19
#36082=IfcConnectedFaceSet,19
#36248=IfcConnectedFaceSet,19
#36380=IfcConnectedFaceSet,19
#36686=IfcBeam,19
#36892=IfcBeam,19
#37065=IfcBeam,19
#37195=IfcBeam,19
#37325=IfcBeam,19
#37456=IfcBeam,19
#37586=IfcBeam,19
#37716=IfcBeam,19
#505=IfcPolyline,18
#2099=IfcPolyline,18
#3982=IfcMaterialLayerSet,18
#4131=IfcWallStandardCase,18
#4598=IfcWallStandardCase,18
#4643=IfcWallStandardCase,18
#4868=IfcWallStandardCase,18
#4968=IfcWallStandardCase,18
#5057=IfcWallStandardCase,18
#5106=IfcWallStandardCase,18
#6921=IfcWindow,18
#7025=IfcWindow,18
#7407=IfcWindow,18
#7847=IfcWindow,18
#8066=IfcDoor,18
#8169=IfcDoor,18
#9021=IfcStair,18
#15962=IfcDoor,18
#16013=IfcDoor,18
#16064=IfcDoor,18
#16115=IfcDoor,18
#20792=IfcSlab,18
#20903=IfcSlab,18
#20958=IfcSlab,18
#21013=IfcSlab,18
#21080=IfcSlab,18
#21147=IfcSlab,18
#21392=IfcPolyline,18
#21449=IfcSlab,18
#21497=IfcSlab,18
#21545=IfcSlab,18
#21601=IfcPolyline,18
#21658=IfcSlab,18
#21980=IfcWindow,18
#22188=IfcWindow,18
#22663=IfcWallStandardCase,18
#22708=IfcWallStandardCase,18
#22753=IfcWallStandardCase,18
#22798=IfcWallStandardCase,18
#32116=IfcStair,18
#35318=IfcDoor,18
#38594=IfcRelDefinesByProperties,18
#38595=IfcRelDefinesByProperties,18
#38596=IfcRelDefinesByProperties,18
#38597=IfcRelDefinesByProperties,18
#38598=IfcRelDefinesByProperties,18
#38614=IfcRelDefinesByProperties,18
#38615=IfcRelDefinesByProperties,18
#38616=IfcRelDefinesByProperties,18
#38617=IfcRelDefinesByProperties,18
#38618=IfcRelDefinesByProperties,18
#46=IfcLocalPlacement,17
#815=IfcConnectedFaceSet,17
#2408=IfcConnectedFaceSet,17
#4465=IfcWallStandardCase,17
#5329=IfcPolyLoop,17
#5348=IfcPolyLoop,17
#5355=IfcPolyLoop,17
#6426=IfcWindow,17
#6531=IfcWindow,17
#6652=IfcDoor,17
#6757=IfcDoor,17
#7190=IfcWindow,17
#7795=IfcWindow,17
#11693=IfcConnectedFaceSet,17
#15451=IfcRepresentationMap,17
#18018=IfcPolyLoop,17
#18037=IfcPolyLoop,17
#19048=IfcPolyLoop,17
#19067=IfcPolyLoop,17
#19428=IfcPolyLoop,17
#19447=IfcPolyLoop,17
#20430=IfcPolyLoop,17
#20449=IfcPolyLoop,17
#21821=IfcDoor,17
#21929=IfcDoor,17
#22084=IfcWindow,17
#22344=IfcWindow,17
#22396=IfcWindow,17
#22448=IfcWindow,17
#22475=IfcRoof,17
#23667=IfcConnectedFaceSet,17
#23988=IfcConnectedFaceSet,17
#23992=IfcCovering,17
#34672=IfcConnectedFaceSet,17
#35452=IfcWallStandardCase,17
#35497=IfcWallStandardCase,17
#36674=IfcCompositeCurve,17
#36796=IfcPropertySet,17
#36883=IfcCompositeCurve,17
#36970=IfcPropertySet,17
#37056=IfcCompositeCurve,17
#37104=IfcPropertySet,17
#37186=IfcCompositeCurve,17
#37234=IfcPropertySet,17
#37316=IfcCompositeCurve,17
#37364=IfcPropertySet,17
#37447=IfcCompositeCurve,17
#37495=IfcPropertySet,17
#37577=IfcCompositeCurve,17
#37625=IfcPropertySet,17
#37707=IfcCompositeCurve,17
#37755=IfcPropertySet,17
#37777=IfcSlab,17
#37864=IfcSlab,17
#37913=IfcWallStandardCase,17
#37970=IfcWallStandardCase,17
#38015=IfcWallStandardCase,17
#38060=IfcWallStandardCase,17
